peso_entrevista,peso_examen_mec
56370.643535,97287.43959
70620.907816,91924.354102
77606.669651,98818.490876
30547.974564,46249.361849
33195.075408,37592.826841
37347.754081,50155.648011
18115.793305,21161.133581
47594.940466,51168.518681
27195.607017,32035.664033
9742.724221,13160.888306
11971.06532,16412.419716
62438.517829,91330.322035
24009.144902,23585.241001
104036.016152,128601.502273
20335.596218,29060.795607
58255.809004,53225.195963
54702.212005,91521.454075
26516.553379,34625.82199
20661.754548,24421.256193
12866.352098,14323.426526
95706.7613,112761.378013
58026.410662,87728.603458
51214.43506,72695.044255
20865.615409,27148.756669
18679.435575,26535.569581
10439.129526,16006.02357
63375.311425,88891.514175
46947.523295,71168.53759
23119.611492,32740.289798
11364.043018,14738.241434
13608.380841,14935.365863
25027.19295,29842.226415
33378.52091,35344.456696
49766.489428,56656.876143
33489.203093,45542.135395
62362.895905,73609.108468
74386.997915,122299.28007
44698.125359,67019.230741
23090.354583,29115.333161
101010.337287,136572.860433
18028.637262,21434.864135
33514.588178,55453.576543
17004.913776,22917.141582
54861.893533,70578.564805
33430.155622,37121.52646
19426.988341,35128.880595
43191.9233,43615.526945
15660.27367,19998.215647
46448.74551,58119.315697
15363.477257,19523.945561
89621.65738,108375.704308
29320.141625,28658.2811
72866.781586,103164.98441
22144.064273,25554.005354
57241.122372,68931.463403
124405.251044,170875.799883
88427.889763,115388.045856
75276.591283,78758.54805
89845.453144,153608.970141
27543.94172,28941.234839
43871.447511,46034.410239
15114.738885,17110.636787
10993.113516,11142.132561
51399.848669,72045.117161
73722.769443,95200.544023
36704.245959,45851.899711
40079.629909,59281.139734
37225.562646,45310.441752
16622.019338,22808.746542
19433.303285,20656.12533
90333.249037,107684.496426
93450.014992,110704.834805
29363.086919,38647.37037
54467.680038,64030.511628
35536.010486,43408.856359
23815.461935,26107.848094
18529.768721,41641.04913
27989.063345,49299.28274
17360.458922,19972.58451
27391.03995,28250.511109
92954.659878,100542.577581
29317.981125,57863.923188
18780.148054,22568.230654
42137.577236,49120.728205
13170.401421,19216.20707
30805.70502,34423.11386
16048.026524,17776.145106
23806.816452,42136.117413
56805.700868,123100.228033
20426.000481,22136.802765
82941.884573,82643.558297
56964.859031,73253.110263
