generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
0,0.6656882871885924,39,LogisticRegression,68,0.6798091327747877
1,0.6656882871885924,39,LogisticRegression,68,0.6798091327747877
2,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
3,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
4,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
5,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
6,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
7,0.6671530821727792,47,LogisticRegression,68,0.6798091327747877
8,0.6693863396770793,29,LogisticRegression,68,0.6798091327747877
9,0.6716195971813793,53,LogisticRegression,68,0.6798091327747877
10,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
11,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
12,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
13,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
14,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
15,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
16,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
17,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
18,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
19,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
20,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
21,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
22,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
23,0.6738778227820008,24,LogisticRegression,68,0.6798091327747877
24,0.6746129945070188,41,LogisticRegression,68,0.6798091327747877
25,0.6746129945070188,41,LogisticRegression,68,0.6798091327747877
26,0.6746129945070188,41,LogisticRegression,68,0.6798091327747877
27,0.6746129945070188,41,LogisticRegression,68,0.6798091327747877
28,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
29,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
30,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
31,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
32,0.6775952949009598,28,LogisticRegression,68,0.6798091327747877
