generation,best_g_mean,best_num_features,fitness_model,best_generation,max_g_mean
0,0.6344673228615434,50,LogisticRegression,69,0.6661082593487384
1,0.6394410456367606,50,LogisticRegression,69,0.6661082593487384
2,0.6394410456367606,50,LogisticRegression,69,0.6661082593487384
3,0.6457939891896878,30,LogisticRegression,69,0.6661082593487384
4,0.6457939891896878,30,LogisticRegression,69,0.6661082593487384
5,0.6457939891896878,30,LogisticRegression,69,0.6661082593487384
6,0.6457939891896878,30,LogisticRegression,69,0.6661082593487384
7,0.6457939891896878,30,LogisticRegression,69,0.6661082593487384
8,0.6468690052099826,18,LogisticRegression,69,0.6661082593487384
9,0.6468690052099826,18,LogisticRegression,69,0.6661082593487384
10,0.6468690052099826,18,LogisticRegression,69,0.6661082593487384
11,0.649126738082028,33,LogisticRegression,69,0.6661082593487384
12,0.649126738082028,33,LogisticRegression,69,0.6661082593487384
13,0.649126738082028,33,LogisticRegression,69,0.6661082593487384
14,0.6504782817826296,27,LogisticRegression,69,0.6661082593487384
15,0.6504782817826296,27,LogisticRegression,69,0.6661082593487384
16,0.6504782817826296,27,LogisticRegression,69,0.6661082593487384
17,0.6504782817826296,27,LogisticRegression,69,0.6661082593487384
18,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
19,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
20,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
21,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
22,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
23,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
24,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
25,0.6563466052900224,15,LogisticRegression,69,0.6661082593487384
26,0.6582925413420305,17,LogisticRegression,69,0.6661082593487384
27,0.6582925413420305,17,LogisticRegression,69,0.6661082593487384
28,0.6582925413420305,17,LogisticRegression,69,0.6661082593487384
29,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
30,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
31,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
32,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
33,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
34,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
35,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
36,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
37,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
38,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
39,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
40,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
41,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
42,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
43,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
44,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
45,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
46,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
47,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
48,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
49,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
50,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
51,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
52,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
53,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
54,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
55,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
56,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
57,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
58,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
59,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
60,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
61,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
62,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
63,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
64,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
65,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
66,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
67,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
68,0.6612541173707246,18,LogisticRegression,69,0.6661082593487384
69,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
70,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
71,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
72,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
73,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
74,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
75,0.6661082593487384,31,LogisticRegression,69,0.6661082593487384
