modelo,pareto_idx,n_variables,precision_cv,recall_cv,accuracy_test,precision_test,recall_test,f1_test,custom_score_test,TN,FP,FN,TP,selected_features
LogisticRegression,0,2,0.05983636697922412,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
LogisticRegression,1,2,0.05983636697922412,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,182,2,0.05983636697922412,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['tiempo_seg_cond1', 'medicacion_osteoporosis_1']"
LogisticRegression,189,2,0.05983636697922412,0.9373662105405772,0.4722222222222222,0.46238532110091746,0.9581749049429658,0.6237623762376238,0.6607011546377368,20,293,11,252,"['medicacion_osteoporosis_1', 'tiempo_seg_cond1']"
SVC,47,22,0.5801434087148373,0.7710066386668473,0.6336805555555556,0.5773809523809523,0.7376425855513308,0.6477462437395659,0.6414856056491036,171,142,69,194,"['raza_etnia_6.0', 'cadmio_sangre_nmol_l', 'cap_iqr', 'trigliceridos_mmol_l', 'ratio_albumina_creatinina', 'edad_an', 'monocitos_abs', 'tiempo_seg_cond3', 'fracturas_1', 'plaquetas_totales', 'altura_cm', 'hdl_mmol_l', 'eosinofilos_abs', 'albumina_orina_mg_l', ""tipo_sonda_elasto_b'M'"", 'ldl_martin_mmol_l', 'imc', 'raza_etnia_2.0', 'creatinina_orina_umol_l', 'elegibilidad_balance_1', 'convulsiones_1', 'pais_nacimiento_1']"
SVC,35,3,0.15485383342526202,0.8797588402655467,0.5138888888888888,0.4822546972860125,0.8783269961977186,0.6226415094339622,0.6406836168506949,65,248,32,231,"['medicacion_osteoporosis_1', 'raza_etnia_2.0', 'raza_etnia_6.0']"
SVC,132,3,0.15485383342526202,0.8797588402655467,0.5138888888888888,0.4822546972860125,0.8783269961977186,0.6226415094339622,0.6406836168506949,65,248,32,231,"['raza_etnia_2.0', 'medicacion_osteoporosis_1', 'raza_etnia_6.0']"
LogisticRegression,10,3,0.1548630262915977,0.8731608183173012,0.5104166666666666,0.4802494802494803,0.8783269961977186,0.6209677419354839,0.6394804866287755,63,250,32,231,"['medicacion_osteoporosis_1', 'estado_examen_balance_1', 'raza_etnia_2.0']"
LogisticRegression,43,3,0.1548630262915977,0.8731608183173012,0.5104166666666666,0.4802494802494803,0.8783269961977186,0.6209677419354839,0.6394804866287755,63,250,32,231,"['estado_examen_balance_1', 'raza_etnia_2.0', 'medicacion_osteoporosis_1']"
LogisticRegression,7,2,0.0679720536863394,0.9307275436932665,0.4461805555555556,0.4483394833948339,0.9239543726235742,0.6037267080745342,0.63858543908633,14,299,20,243,"['caidas_1', 'tiempo_seg_cond1']"
LogisticRegression,11,2,0.0679720536863394,0.9307275436932665,0.4461805555555556,0.4483394833948339,0.9239543726235742,0.6037267080745342,0.63858543908633,14,299,20,243,"['tiempo_seg_cond1', 'caidas_1']"
LogisticRegression,192,2,0.0679720536863394,0.9307275436932665,0.4461805555555556,0.4483394833948339,0.9239543726235742,0.6037267080745342,0.63858543908633,14,299,20,243,"['caidas_1', 'tiempo_seg_cond1']"
SVC,27,3,0.15621437764294907,0.8748272591789732,0.5121527777777778,0.4811715481171548,0.8745247148288974,0.6207827260458839,0.6385128148018518,65,248,33,230,"['medicacion_osteoporosis_1', 'estado_examen_balance_1', 'raza_etnia_2.0']"
SVC,31,3,0.15621437764294907,0.8748272591789732,0.5121527777777778,0.4811715481171548,0.8745247148288974,0.6207827260458839,0.6385128148018518,65,248,33,230,"['estado_examen_balance_1', 'raza_etnia_2.0', 'medicacion_osteoporosis_1']"
SVC,187,3,0.15621437764294907,0.8748272591789732,0.5121527777777778,0.4811715481171548,0.8745247148288974,0.6207827260458839,0.6385128148018518,65,248,33,230,"['medicacion_osteoporosis_1', 'estado_examen_balance_1', 'raza_etnia_2.0']"
LogisticRegression,52,2,0.16028681742967454,0.8698685814930226,0.5138888888888888,0.48210526315789476,0.870722433460076,0.6205962059620597,0.6375521312787673,67,246,34,229,"['raza_etnia_2.0', 'medicacion_osteoporosis_1']"
LogisticRegression,74,2,0.16028681742967454,0.8698685814930226,0.5138888888888888,0.48210526315789476,0.870722433460076,0.6205962059620597,0.6375521312787673,67,246,34,229,"['medicacion_osteoporosis_1', 'raza_etnia_2.0']"
LogisticRegression,199,2,0.16028681742967454,0.8698685814930226,0.5138888888888888,0.48210526315789476,0.870722433460076,0.6205962059620597,0.6375521312787673,67,246,34,229,"['medicacion_osteoporosis_1', 'raza_etnia_2.0']"
